order_id,order_date,region,category,channel,units_sold,unit_price,unit_cost,revenue,cost,profit
50069,2025-02-07,Northeast,Electronics,Partner,4,260.04,181.13,1040.16,724.52,315.64
50070,2025-07-06,Midwest,Software,Online,2,69.58,138.55,139.16,277.1,-137.94
50071,2025-07-15,South,Home Office,Retail,6,114.87,139.55,689.22,837.3,-148.08
50072,2025-08-31,Northeast,Accessories,Online,6,250.22,115.19,1501.32,691.14,810.18
50073,2025-10-27,West,Software,Online,5,446.04,14.91,2230.2,74.55,2155.65
50074,2025-10-30,Northeast,Accessories,Online,2,291.87,161.41,583.74,322.82,260.92
50075,2025-02-04,South,Software,Online,4,347.14,107.22,1388.56,428.88,959.68
50076,2025-08-03,Northeast,Software,Partner,2,182.73,10.38,365.46,20.76,344.7
50077,2025-08-07,West,Software,Online,4,294.28,99.3,1177.12,397.2,779.92
50078,2025-11-12,West,Accessories,Partner,7,234.74,90.8,1643.18,635.6,1007.58
50079,2025-03-31,West,Accessories,Partner,5,336.38,124.1,1681.9,620.5,1061.4
50080,2025-11-04,South,Software,Online,1,44.28,48.24,44.28,48.24,-3.96
50081,2025-09-09,South,Electronics,Retail,7,256.78,157.23,1797.46,1100.61,696.85
50082,2025-01-08,West,Electronics,Online,1,162.08,210.81,162.08,210.81,-48.73
50083,2025-09-13,West,Electronics,Retail,2,176.57,192.75,353.14,385.5,-32.36
50084,2025-12-29,South,Home Office,Online,4,481.24,243.09,1924.96,972.36,952.6
50085,2025-07-27,South,Electronics,Online,1,107.69,141.08,107.69,141.08,-33.39
50086,2025-05-11,South,Accessories,Online,7,169.4,160.54,1185.8,1123.78,62.02
50087,2025-08-12,Midwest,Electronics,Retail,4,264.75,245.02,1059.0,980.08,78.92
50088,2025-07-16,South,Accessories,Partner,5,434.25,134.03,2171.25,670.15,1501.1
50089,2025-05-22,West,Home Office,Online,7,220.0,213.46,1540.0,1494.22,45.78
50090,2025-09-09,Midwest,Accessories,Online,2,377.06,136.03,754.12,272.06,482.06
50091,2025-04-06,South,Accessories,Online,4,431.06,131.14,1724.24,524.56,1199.68
50092,2025-01-26,West,Accessories,Retail,2,168.81,230.46,337.62,460.92,-123.3
50093,2025-04-21,Northeast,Electronics,Online,4,208.52,60.7,834.08,242.8,591.28
50094,2025-05-03,Midwest,Software,Retail,7,191.15,108.19,1338.05,757.33,580.72
50095,2025-07-05,West,Accessories,Online,6,419.77,75.01,2518.62,450.06,2068.56
50096,2025-06-17,Northeast,Electronics,Online,6,41.29,114.14,247.74,684.84,-437.1
50097,2025-02-20,West,Electronics,Retail,4,168.04,76.81,672.16,307.24,364.92
50098,2025-01-05,South,Electronics,Retail,5,346.12,178.03,1730.6,890.15,840.45
50099,2025-03-18,South,Software,Retail,2,291.41,241.47,582.82,482.94,99.88
50100,2025-06-09,Northeast,Software,Online,3,229.42,238.12,688.26,714.36,-26.1
50101,2025-07-27,South,Software,Partner,4,279.18,115.71,1116.72,462.84,653.88
50102,2025-09-14,West,Software,Online,4,114.84,296.74,459.36,1186.96,-727.6
50103,2025-07-24,Northeast,Home Office,Partner,6,226.74,182.22,1360.44,1093.32,267.12
50104,2025-09-12,West,Software,Online,1,260.82,125.83,260.82,125.83,134.99
50105,2025-01-11,West,Software,Online,7,452.57,252.31,3167.99,1766.17,1401.82
50106,2025-01-08,West,Software,Online,6,145.2,221.66,871.2,1329.96,-458.76
50107,2025-02-01,South,Accessories,Online,2,436.56,227.29,873.12,454.58,418.54
50108,2025-01-28,South,Accessories,Online,6,329.24,66.88,1975.44,401.28,1574.16
50109,2025-07-25,West,Software,Partner,3,29.76,145.81,89.28,437.43,-348.15
50110,2025-08-16,Midwest,Home Office,Retail,5,367.82,259.93,1839.1,1299.65,539.45
50111,2025-05-08,West,Accessories,Partner,7,37.06,156.17,259.42,1093.19,-833.77
50112,2025-09-12,West,Electronics,Online,3,498.74,208.2,1496.22,624.6,871.62
50113,2025-07-31,Northeast,Accessories,Online,5,438.87,180.5,2194.35,902.5,1291.85
50114,2025-08-27,West,Electronics,Partner,3,162.72,254.28,488.16,762.84,-274.68
50115,2025-07-26,South,Accessories,Online,7,143.56,92.52,1004.92,647.64,357.28
50116,2025-11-14,Northeast,Software,Online,6,203.09,176.89,1218.54,1061.34,157.2
50117,2025-10-10,Midwest,Accessories,Partner,3,190.96,45.74,572.88,137.22,435.66
50118,2025-09-02,Northeast,Software,Online,6,198.72,210.16,1192.32,1260.96,-68.64
50119,2025-02-14,Midwest,Software,Online,7,172.77,222.27,1209.39,1555.89,-346.5
50120,2025-04-15,Northeast,Accessories,Partner,6,318.14,22.42,1908.84,134.52,1774.32
50121,2025-12-14,Northeast,Electronics,Online,2,98.85,205.98,197.7,411.96,-214.26
50122,2025-10-08,Midwest,Electronics,Partner,6,426.07,130.26,2556.42,781.56,1774.86
50123,2025-08-22,South,Accessories,Online,1,409.95,45.99,409.95,45.99,363.96
50124,2025-07-08,South,Software,Retail,3,248.71,131.77,746.13,395.31,350.82
50125,2025-02-13,South,Electronics,Online,7,429.31,66.33,3005.17,464.31,2540.86
50126,2025-08-13,Northeast,Home Office,Retail,4,138.63,130.51,554.52,522.04,32.48
50127,2025-05-22,West,Software,Online,4,28.43,121.46,113.72,485.84,-372.12
50128,2025-05-16,Northeast,Accessories,Retail,4,317.22,224.13,1268.88,896.52,372.36
50129,2025-06-25,West,Software,Online,7,239.8,234.52,1678.6,1641.64,36.96
50130,2025-05-22,West,Home Office,Online,1,292.24,186.04,292.24,186.04,106.2
50131,2025-03-21,South,Home Office,Retail,6,451.68,16.58,2710.08,99.48,2610.6
50132,2025-03-23,West,Electronics,Online,3,485.56,280.0,1456.68,840.0,616.68
50133,2025-05-15,Northeast,Home Office,Online,5,324.54,209.01,1622.7,1045.05,577.65
50134,2025-07-26,Northeast,Software,Online,5,386.75,19.92,1933.75,99.6,1834.15
50135,2025-12-10,South,Electronics,Online,7,60.23,247.46,421.61,1732.22,-1310.61
50136,2025-06-26,Midwest,Home Office,Online,2,97.14,68.08,194.28,136.16,58.12
50137,2025-08-31,Northeast,Electronics,Online,1,371.94,177.97,371.94,177.97,193.97
50138,2025-02-24,West,Electronics,Online,3,227.06,145.32,681.18,435.96,245.22
50139,2025-05-21,Northeast,Accessories,Retail,6,234.06,131.75,1404.36,790.5,613.86
50140,2025-02-25,Northeast,Electronics,Online,4,168.13,268.02,672.52,1072.08,-399.56
50141,2025-01-15,Northeast,Electronics,Online,1,311.53,136.83,311.53,136.83,174.7
50142,2025-07-04,Midwest,Home Office,Partner,1,108.88,31.85,108.88,31.85,77.03
50143,2025-11-10,West,Software,Partner,3,320.92,284.53,962.76,853.59,109.17
50144,2025-03-29,South,Software,Online,7,103.42,276.96,723.94,1938.72,-1214.78
50145,2025-04-07,Northeast,Home Office,Online,6,50.64,208.49,303.84,1250.94,-947.1
50146,2025-05-24,West,Software,Partner,7,178.57,145.69,1249.99,1019.83,230.16
50147,2025-01-08,West,Electronics,Online,7,130.95,36.93,916.65,258.51,658.14
50148,2025-08-03,South,Accessories,Online,2,446.72,239.32,893.44,478.64,414.8
50149,2025-06-22,Northeast,Electronics,Online,7,46.38,31.89,324.66,223.23,101.43
50150,2025-08-11,Midwest,Electronics,Retail,6,104.77,29.89,628.62,179.34,449.28
50151,2025-02-09,West,Accessories,Online,2,283.39,165.84,566.78,331.68,235.1
50152,2025-07-01,South,Home Office,Retail,2,250.91,56.44,501.82,112.88,388.94
50153,2025-09-27,Midwest,Electronics,Retail,4,42.01,12.24,168.04,48.96,119.08
50154,2025-07-06,West,Electronics,Online,4,23.48,132.7,93.92,530.8,-436.88
50155,2025-09-02,Northeast,Home Office,Partner,3,494.27,49.79,1482.81,149.37,1333.44
50156,2025-11-05,West,Electronics,Online,6,336.24,56.55,2017.44,339.3,1678.14
50157,2025-08-19,Midwest,Electronics,Online,7,195.39,32.3,1367.73,226.1,1141.63
50158,2025-06-04,Midwest,Software,Online,2,245.81,69.48,491.62,138.96,352.66
50159,2025-06-24,Northeast,Home Office,Online,3,147.94,217.49,443.82,652.47,-208.65
50160,2025-12-02,Northeast,Electronics,Online,2,185.54,244.59,371.08,489.18,-118.1
50161,2025-04-25,South,Electronics,Online,1,331.54,141.23,331.54,141.23,190.31
50162,2025-11-07,Northeast,Accessories,Online,5,443.75,156.9,2218.75,784.5,1434.25
50163,2025-10-27,South,Accessories,Online,5,108.38,19.47,541.9,97.35,444.55
50164,2025-01-18,Midwest,Accessories,Online,2,423.37,30.1,846.74,60.2,786.54
50165,2025-09-29,Midwest,Electronics,Retail,3,78.35,84.69,235.05,254.07,-19.02
50166,2025-01-12,West,Electronics,Online,4,123.2,167.73,492.8,670.92,-178.12
50167,2025-10-28,West,Accessories,Retail,6,37.84,224.47,227.04,1346.82,-1119.78
50168,2025-07-11,South,Software,Online,2,87.59,185.45,175.18,370.9,-195.72
50169,2025-08-20,Northeast,Software,Online,2,460.31,123.72,920.62,247.44,673.18
50170,2025-04-03,Northeast,Software,Online,6,240.53,44.31,1443.18,265.86,1177.32
50171,2025-08-06,West,Software,Online,7,57.28,236.42,400.96,1654.94,-1253.98
50172,2025-10-05,Midwest,Home Office,Online,4,480.67,115.5,1922.68,462.0,1460.68
50173,2025-12-19,South,Accessories,Online,2,441.92,223.46,883.84,446.92,436.92
50174,2025-10-30,Midwest,Electronics,Partner,1,382.25,158.76,382.25,158.76,223.49
50175,2025-01-29,Midwest,Accessories,Partner,4,468.07,224.21,1872.28,896.84,975.44
50176,2025-10-28,Northeast,Software,Online,1,125.66,273.11,125.66,273.11,-147.45
50177,2025-03-18,South,Electronics,Retail,5,421.46,277.1,2107.3,1385.5,721.8
50178,2025-01-09,Midwest,Home Office,Online,6,351.2,165.18,2107.2,991.08,1116.12
50179,2025-01-24,West,Accessories,Online,4,437.48,158.34,1749.92,633.36,1116.56
50180,2025-01-15,West,Electronics,Retail,7,402.52,87.05,2817.64,609.35,2208.29
50181,2025-06-13,Northeast,Electronics,Online,4,186.32,281.38,745.28,1125.52,-380.24
50182,2025-01-13,West,Software,Online,3,391.71,142.8,1175.13,428.4,746.73
50183,2025-12-13,West,Software,Online,3,145.98,47.0,437.94,141.0,296.94
50184,2025-06-21,Midwest,Accessories,Online,6,177.72,135.48,1066.32,812.88,253.44
50185,2025-12-23,West,Home Office,Online,7,71.79,46.85,502.53,327.95,174.58
50186,2025-11-23,West,Electronics,Online,4,468.84,155.73,1875.36,622.92,1252.44
50187,2025-07-19,Midwest,Software,Online,5,159.68,172.77,798.4,863.85,-65.45
50188,2025-03-17,Northeast,Accessories,Online,7,269.9,107.95,1889.3,755.65,1133.65
50189,2025-06-13,Northeast,Software,Retail,2,207.84,30.78,415.68,61.56,354.12
50190,2025-03-02,South,Accessories,Online,6,480.77,283.62,2884.62,1701.72,1182.9
50191,2025-09-02,West,Software,Retail,7,180.82,234.27,1265.74,1639.89,-374.15
50192,2025-06-04,Midwest,Home Office,Retail,6,393.7,253.28,2362.2,1519.68,842.52
50193,2025-09-14,South,Electronics,Retail,7,430.6,116.39,3014.2,814.73,2199.47
50194,2025-09-01,Northeast,Software,Retail,3,229.09,230.64,687.27,691.92,-4.65
50195,2025-06-11,Northeast,Electronics,Online,5,201.52,150.76,1007.6,753.8,253.8
50196,2025-03-09,Midwest,Accessories,Online,6,378.92,68.31,2273.52,409.86,1863.66
50197,2025-12-10,South,Home Office,Online,5,458.19,46.08,2290.95,230.4,2060.55
50198,2025-10-04,South,Electronics,Partner,6,382.37,110.06,2294.22,660.36,1633.86
50199,2025-06-10,Midwest,Software,Online,3,129.02,49.89,387.06,149.67,237.39
50200,2025-09-16,Midwest,Electronics,Online,2,446.39,299.5,892.78,599.0,293.78
50201,2025-11-03,South,Electronics,Online,3,206.04,24.26,618.12,72.78,545.34
50202,2025-12-01,Northeast,Accessories,Partner,6,296.59,137.93,1779.54,827.58,951.96
50203,2025-04-05,West,Home Office,Online,5,419.09,141.11,2095.45,705.55,1389.9
50204,2025-09-03,Northeast,Home Office,Online,1,110.43,97.18,110.43,97.18,13.25
50205,2025-08-09,Midwest,Electronics,Online,3,396.56,175.69,1189.68,527.07,662.61
50206,2025-05-03,South,Electronics,Partner,5,306.16,53.49,1530.8,267.45,1263.35
50207,2025-07-06,South,Accessories,Online,7,448.8,237.33,3141.6,1661.31,1480.29
50208,2025-09-19,West,Electronics,Online,7,102.55,106.41,717.85,744.87,-27.02
50209,2025-09-30,South,Accessories,Retail,3,221.93,181.49,665.79,544.47,121.32
50210,2025-03-01,West,Home Office,Online,6,419.76,217.54,2518.56,1305.24,1213.32
50211,2025-05-05,Northeast,Home Office,Partner,7,29.23,267.82,204.61,1874.74,-1670.13
50212,2025-12-03,Northeast,Accessories,Online,5,73.86,252.38,369.3,1261.9,-892.6
50213,2025-12-07,South,Electronics,Online,2,495.47,186.41,990.94,372.82,618.12
50214,2025-02-20,South,Home Office,Partner,5,154.59,122.63,772.95,613.15,159.8
50215,2025-06-27,Midwest,Software,Partner,7,488.26,155.93,3417.82,1091.51,2326.31
50216,2025-05-19,Midwest,Accessories,Online,7,107.62,232.93,753.34,1630.51,-877.17
50217,2025-11-23,South,Home Office,Online,4,193.33,264.49,773.32,1057.96,-284.64
50218,2025-06-19,South,Home Office,Retail,1,381.38,40.1,381.38,40.1,341.28
50219,2025-02-08,Northeast,Home Office,Online,6,335.73,121.61,2014.38,729.66,1284.72
50220,2025-03-10,South,Software,Partner,5,298.94,235.07,1494.7,1175.35,319.35
50221,2025-08-24,Midwest,Software,Partner,7,274.35,135.18,1920.45,946.26,974.19
50222,2025-02-17,Northeast,Software,Online,6,424.85,106.35,2549.1,638.1,1911.0
50223,2025-02-26,West,Electronics,Partner,3,132.78,129.28,398.34,387.84,10.5
50224,2025-10-04,Midwest,Accessories,Online,3,232.39,184.82,697.17,554.46,142.71
50225,2025-12-04,Midwest,Electronics,Retail,5,94.62,299.94,473.1,1499.7,-1026.6
50226,2025-04-09,Northeast,Software,Online,4,306.05,152.97,1224.2,611.88,612.32
50227,2025-01-15,West,Accessories,Partner,7,140.26,70.46,981.82,493.22,488.6
50228,2025-11-21,Midwest,Electronics,Retail,5,180.24,57.23,901.2,286.15,615.05
50229,2025-06-28,South,Electronics,Retail,2,246.2,22.28,492.4,44.56,447.84
50230,2025-11-28,Midwest,Electronics,Partner,4,32.85,172.06,131.4,688.24,-556.84
50231,2025-03-03,Northeast,Software,Online,7,64.13,167.93,448.91,1175.51,-726.6
50232,2025-04-29,Northeast,Home Office,Online,7,349.25,69.52,2444.75,486.64,1958.11
50233,2025-02-06,Northeast,Accessories,Partner,6,225.91,211.65,1355.46,1269.9,85.56
50234,2025-05-14,Midwest,Software,Retail,5,435.1,224.92,2175.5,1124.6,1050.9
50235,2025-01-26,West,Accessories,Partner,7,353.44,85.14,2474.08,595.98,1878.1
50236,2025-01-08,South,Software,Partner,6,23.89,109.79,143.34,658.74,-515.4
50237,2025-01-04,Northeast,Electronics,Online,7,316.02,297.24,2212.14,2080.68,131.46
50238,2025-01-21,West,Electronics,Online,1,64.99,118.54,64.99,118.54,-53.55
50239,2025-05-29,South,Home Office,Online,4,394.85,230.63,1579.4,922.52,656.88
50240,2025-01-25,Northeast,Home Office,Retail,5,495.92,141.29,2479.6,706.45,1773.15
50241,2025-05-23,South,Accessories,Online,1,274.98,240.07,274.98,240.07,34.91
50242,2025-09-02,South,Home Office,Retail,5,347.73,233.02,1738.65,1165.1,573.55
50243,2025-02-12,West,Home Office,Online,2,133.91,203.65,267.82,407.3,-139.48
50244,2025-10-20,South,Accessories,Online,3,230.05,257.89,690.15,773.67,-83.52
50245,2025-07-04,Northeast,Software,Online,6,430.93,282.37,2585.58,1694.22,891.36
50246,2025-02-11,West,Home Office,Online,5,100.36,178.2,501.8,891.0,-389.2
50247,2025-04-02,Midwest,Software,Retail,4,147.46,78.87,589.84,315.48,274.36
50248,2025-11-13,Midwest,Electronics,Online,5,233.81,125.6,1169.05,628.0,541.05
50249,2025-11-20,West,Home Office,Online,5,361.88,229.91,1809.4,1149.55,659.85
50250,2025-02-22,Midwest,Electronics,Online,5,200.42,198.76,1002.1,993.8,8.3
50251,2025-03-25,South,Electronics,Retail,7,465.31,61.56,3257.17,430.92,2826.25
50252,2025-02-03,Northeast,Software,Retail,5,65.34,24.86,326.7,124.3,202.4
50253,2025-03-17,South,Accessories,Online,7,197.99,208.06,1385.93,1456.42,-70.49
50254,2025-12-19,West,Home Office,Retail,4,360.3,82.81,1441.2,331.24,1109.96
50255,2025-07-16,Northeast,Software,Online,4,128.47,154.9,513.88,619.6,-105.72
50256,2025-10-13,West,Accessories,Online,5,335.08,226.56,1675.4,1132.8,542.6
50257,2025-03-29,West,Electronics,Retail,7,98.82,173.17,691.74,1212.19,-520.45
50258,2025-08-23,West,Home Office,Online,3,46.87,34.16,140.61,102.48,38.13
50259,2025-08-20,South,Electronics,Retail,5,78.09,63.82,390.45,319.1,71.35
50260,2025-01-07,Northeast,Electronics,Online,6,466.39,73.61,2798.34,441.66,2356.68
50261,2025-10-19,Northeast,Home Office,Partner,6,284.84,84.78,1709.04,508.68,1200.36
50262,2025-02-07,Northeast,Accessories,Online,4,402.25,173.97,1609.0,695.88,913.12
50263,2025-02-21,South,Accessories,Online,6,179.67,156.15,1078.02,936.9,141.12
50264,2025-05-23,Midwest,Home Office,Partner,6,304.48,68.92,1826.88,413.52,1413.36
50265,2025-08-09,South,Home Office,Online,2,257.58,29.59,515.16,59.18,455.98
50266,2025-08-28,South,Software,Online,5,473.95,59.72,2369.75,298.6,2071.15
50267,2025-05-23,West,Software,Online,5,378.84,295.47,1894.2,1477.35,416.85
50268,2025-12-15,Northeast,Electronics,Online,5,370.66,145.88,1853.3,729.4,1123.9
50269,2025-12-29,Northeast,Home Office,Online,5,42.25,261.53,211.25,1307.65,-1096.4
50270,2025-02-18,Midwest,Accessories,Online,1,283.84,256.14,283.84,256.14,27.7
50271,2025-10-04,Midwest,Electronics,Retail,5,244.16,158.34,1220.8,791.7,429.1
50272,2025-09-28,West,Electronics,Online,7,465.36,214.94,3257.52,1504.58,1752.94
50273,2025-01-14,Northeast,Electronics,Retail,4,143.52,65.9,574.08,263.6,310.48
50274,2025-10-25,Midwest,Electronics,Online,7,149.52,209.64,1046.64,1467.48,-420.84
50275,2025-01-15,Midwest,Accessories,Online,4,217.45,88.99,869.8,355.96,513.84
50276,2025-08-22,Northeast,Electronics,Online,1,136.82,251.3,136.82,251.3,-114.48
50277,2025-03-04,South,Home Office,Online,5,82.01,34.28,410.05,171.4,238.65
50278,2025-07-15,Midwest,Software,Online,3,431.56,234.21,1294.68,702.63,592.05
50279,2025-01-27,Northeast,Accessories,Online,7,287.97,38.98,2015.79,272.86,1742.93
50280,2025-04-03,Midwest,Home Office,Online,5,433.45,265.54,2167.25,1327.7,839.55
50281,2025-04-15,West,Home Office,Online,4,418.94,98.22,1675.76,392.88,1282.88
50282,2025-11-05,Midwest,Home Office,Online,7,155.38,199.77,1087.66,1398.39,-310.73
50283,2025-02-21,Northeast,Software,Online,2,282.91,151.38,565.82,302.76,263.06
50284,2025-11-15,Midwest,Software,Retail,6,59.94,116.23,359.64,697.38,-337.74
50285,2025-06-30,West,Software,Online,2,459.32,197.18,918.64,394.36,524.28
50286,2025-02-26,West,Home Office,Online,3,214.05,284.78,642.15,854.34,-212.19
50287,2025-04-30,Midwest,Software,Online,5,208.96,21.97,1044.8,109.85,934.95
50288,2025-11-04,Midwest,Electronics,Online,1,165.32,276.47,165.32,276.47,-111.15
50289,2025-12-29,West,Software,Online,5,241.12,186.63,1205.6,933.15,272.45
50290,2025-02-12,West,Accessories,Partner,3,140.84,244.12,422.52,732.36,-309.84
50291,2025-05-15,South,Home Office,Retail,3,199.93,121.32,599.79,363.96,235.83
50292,2025-09-17,South,Home Office,Retail,6,403.97,146.83,2423.82,880.98,1542.84
50293,2025-07-16,West,Electronics,Retail,3,420.44,261.97,1261.32,785.91,475.41
50294,2025-05-13,Midwest,Software,Online,2,166.01,130.31,332.02,260.62,71.4
50295,2025-09-12,Northeast,Software,Online,6,245.13,165.05,1470.78,990.3,480.48
50296,2025-08-08,Midwest,Accessories,Retail,5,439.43,15.86,2197.15,79.3,2117.85
50297,2025-12-02,Midwest,Electronics,Online,7,45.28,55.99,316.96,391.93,-74.97
50298,2025-02-10,South,Accessories,Online,5,446.79,196.09,2233.95,980.45,1253.5
50299,2025-09-12,South,Accessories,Retail,1,125.21,217.92,125.21,217.92,-92.71
50300,2025-01-02,South,Home Office,Retail,3,345.7,178.95,1037.1,536.85,500.25
50301,2025-07-14,West,Home Office,Online,3,299.62,51.56,898.86,154.68,744.18
50302,2025-08-30,West,Software,Online,4,285.41,139.17,1141.64,556.68,584.96
50303,2025-05-29,Midwest,Software,Retail,6,432.49,112.98,2594.94,677.88,1917.06
50304,2025-07-17,Midwest,Accessories,Retail,4,68.75,153.74,275.0,614.96,-339.96
50305,2025-10-26,Northeast,Software,Retail,6,186.57,262.4,1119.42,1574.4,-454.98
50306,2025-09-02,Midwest,Accessories,Partner,2,278.36,235.0,556.72,470.0,86.72
50307,2025-12-04,Midwest,Software,Online,6,409.42,34.36,2456.52,206.16,2250.36
50308,2025-04-18,South,Software,Online,5,123.89,268.19,619.45,1340.95,-721.5
50309,2025-07-31,South,Home Office,Online,1,405.41,146.81,405.41,146.81,258.6
50310,2025-06-05,South,Home Office,Online,7,211.83,225.72,1482.81,1580.04,-97.23
50311,2025-01-26,South,Home Office,Partner,6,110.68,50.61,664.08,303.66,360.42
50312,2025-03-23,South,Home Office,Partner,6,384.31,204.51,2305.86,1227.06,1078.8
